height;avgdepth
165;0,882297
275;0,548843
232;0,570422
263;0,354201
108;0,843954
96;0,054472
150;0,752105
168;0,026187
202;0,671338
175;0,084515
210;0,806382
35;0,876989
61;0,857336
119;0,434937
77;0,785584
270;0,355090
183;0,499093
108;0,127129
250;0,776279
196;0,229043
146;0,226896
266;0,522131
56;0,348762
172;0,232385
248;0,382046
180;0,438749
196;0,884317
171;0,564698
36;0,000000
194;0,791189
255;0,595578
190;0,639163
152;0,239832
225;0,483189
180;0,235209
164;0,885728
262;0,539803
210;0,641015
189;0,886467
229;0,734985
153;0,655208
228;0,537157
82;0,077391
60;0,256301
209;0,860807
186;0,490605
125;0,192977
261;0,663744
53;0,000000
57;0,000000
109;0,000000
267;0,321382
252;0,607764
60;0,000000
153;0,810795
164;0,230041
138;0,874008
190;0,146339
173;0,030176
103;0,546324
34;0,000000
225;0,660141
130;0,240483
225;0,818350
86;0,735788
196;0,821884
121;0,849248
236;0,495617
105;0,748604
126;0,010817
105;0,841208
263;0,346705
277;0,490302
285;0,688791
193;0,211413
125;0,000000
106;0,756205
269;0,689624
76;0,460033
91;0,766375
76;0,901500
249;0,462351
33;0,000000
83;0,848511
119;0,943723
102;0,879382
52;0,000000
166;0,835761
64;0,893763
148;0,859229
199;0,271571
111;0,898031
213;0,428997
173;0,665020
129;0,825042
262;0,464758
80;0,931772
169;0,886746
246;0,711086
140;0,724930
45;0,000000
253;0,517706
143;0,606532
58;0,184667
239;0,821996
262;0,339012
150;0,124738
256;0,635623
136;0,267479
61;0,000000
191;0,659372
271;0,656172
269;0,498088
110;0,860105
68;0,885901
249;0,412387
146;0,663349
130;0,730804
152;0,375585
252;0,146791
280;0,688827
183;0,315598
212;0,219518
154;0,510891
153;0,849480
169;0,936017
262;0,425461
102;0,046954
147;0,813831
259;0,391567
147;0,171183
136;0,057351
115;0,157372
279;0,476644
168;0,852257
109;0,901788
190;0,618145
282;0,486532
96;0,282983
262;0,510930
287;0,526800
78;0,032095
101;0,000000
282;0,475105
213;0,662511
171;0,182067
35;0,847832
260;0,730466
116;0,258523
71;0,000000
113;0,805694
285;0,410166
114;0,892156
80;0,416663
284;0,448246
231;0,483226
81;0,464826
239;0,619111
77;0,000000
203;0,528182
218;0,340424
123;0,803069
205;0,180219
101;0,673720
212;0,371926
180;0,278250
102;0,032023
160;0,450513
173;0,715816
47;0,016528
228;0,387898
124;0,376256
243;0,369457
106;0,860210
97;0,877392
161;0,576752
50;0,010263
77;0,892440
255;0,441714
254;0,624378
227;0,308289
234;0,261082
287;0,429426
64;0,000000
162;0,621576
238;0,616357
180;0,932649
50;0,868138
174;0,770566
218;0,914749
211;0,704167
141;0,347731
83;0,000000
150;0,684682
84;0,000000
70;0,837325
164;0,193686
50;0,401643
152;0,387098
199;0,605123
211;0,703254
123;0,066579
268;0,244789
278;0,590777
266;0,443170
169;0,363557
85;0,931749
145;0,251240
46;0,000000
203;0,562720
140;0,873422
253;0,735169
96;0,558058
176;0,410196
104;0,728903
249;0,742146
180;0,189265
272;0,467665
95;0,448571
35;0,538088
67;0,422321
107;0,269632
126;0,210263
167;0,643971
155;0,479233
209;0,532470
67;0,902751
83;0,000000
261;0,675671
220;0,549565
206;0,352340
277;0,470399
125;0,838591
218;0,541381
38;0,145545
264;0,594777
36;0,902871
63;0,654054
103;0,462538
47;0,460126
238;0,352895
197;0,390506
250;0,169337
90;0,000000
62;0,817736
221;0,558096
219;0,290264
43;0,826164
234;0,561154
231;0,777932
118;0,824516
154;0,645515
146;0,661558
34;0,000000
167;0,870740
59;0,000000
199;0,764291
215;0,614982
39;0,839601
120;0,759519
188;0,783472
221;0,813502
220;0,670977
33;0,794452
74;0,288318
268;0,446541
248;0,593223
38;0,883304
117;0,303868
176;0,404302
115;0,436992
213;0,717509
45;0,000000
166;0,551634
108;0,000000
137;0,711041
37;0,850136
112;0,713774
106;0,082027
41;0,881143
219;0,645812
32;0,808450
91;0,603591
253;0,590142
110;0,281929
42;0,673886
147;0,590208
44;0,000000
256;0,531937
270;0,557240
75;0,802082
191;0,594113
176;0,887787
194;0,261007
165;0,225239
52;0,031506
282;0,480355
112;0,126241
193;0,382150
71;0,000000
87;0,000000
240;0,860376
239;0,719727
174;0,713203
89;0,006181
46;0,812823
205;0,880263
87;0,555542
250;0,504267
233;0,204882
165;0,181311
170;0,899113
137;0,000000
153;0,202504
153;0,941246
168;0,804199
155;0,880280
219;0,380345
267;0,758702
90;0,000000
212;0,613651
231;0,817154
157;0,113039
81;0,390430
269;0,808043
203;0,700249
271;0,411810
275;0,597879
49;0,000000
127;0,813132
